idx_int,idx_str,url,pa_null,np_nan,np_inf,np_negative_inf,np_int16,one_value_string,one_value_int,one_value_float,one_value_bool,int8,int16,int32,int64,uint8,uint16,uint32,uint64,halffloat,float,double,bool,bool_with_nulls,int_with_nulls,string,string_with_nulls,datetime,datetime_with_nulls,list_of_integers,list_of_strings,blob,dict,dict_with_nulls,struct,struct_with_nulls,s3_url,s3_alternative_url
10,s10,https://placehold.co/310x390.png,,,inf,-inf,10,single value,1,1.23456789,True,82,-770,-87,974,249,250,830,235,0.923,0.74506456,0.9645204722702085,True,,2.0,,"multiple
lines	string",2023-03-06,2023-07-09,[54],['o41' 'eoPni6' 'JDWYlgAAC'],b'\xad\xaeE3\x82)\xbfe',"[('tSW', 53)]","[('Dwn', 63)]","{'x': 29, 'y': 'm31'}","{'x': 67, 'y': 'uuP'}",s3://sense-table-demo/datasets/COCO2017/images/000000000001.jpg,s3alternative://bucket/path/to/file.jpg
11,s11,https://placehold.co/311x389.png,,,inf,-inf,11,single value,1,1.23456789,True,86,-252,919,369,110,876,47,945,0.4658,0.054882616,0.7600940784380972,True,False,1.0,"multiple
lines	string",c having special characters: !@#$%^&*(),2023-11-26,2023-02-04,[84 61],['TP9' 'gyv1pl' 'BArp5B1Id'],b'\xf6',"[('ENk', 43)]","[('Edw', 54)]","{'x': 32, 'y': 'nhN'}","{'x': 2, 'y': '4XO'}",s3://sense-table-demo/datasets/COCO2017/images/000000000001.jpg,s3alternative://bucket/path/to/file.jpg
12,s12,https://placehold.co/312x388.png,,,inf,-inf,12,single value,1,1.23456789,True,-54,678,-123,-260,143,4,572,333,0.481,0.4551437,0.44229876238091026,True,False,3.0,emoji 🤣,,2023-12-07,2023-05-27,[24 22 23],['9Z8' '50kEny' 'dx9qWCA79'],b'\xb2\x82\x86\x11\xedaO\xc5',"[('Naq', 97)]","[('cm4', 19)]","{'x': 11, 'y': 'ukr'}","{'x': 6, 'y': 'DM3'}",s3://sense-table-demo/datasets/COCO2017/images/000000000001.jpg,s3alternative://bucket/path/to/file.jpg
13,s13,https://placehold.co/313x387.png,,,inf,-inf,13,single value,1,1.23456789,True,74,194,-663,497,116,118,336,884,0.9185,0.5224346,0.31195199049513045,False,True,1.0,"multiple
lines	string",,2023-01-05,2023-01-30,[20 53 17 35],['ISj' 's8JHUd' 'KF0j7elKP'],b'\xfc\xa9\xca4\x85q\x9e\x95j',"[('VkV', 31)]","[('wDC', 62)]","{'x': 26, 'y': 'hWa'}","{'x': 90, 'y': 'HuW'}",s3://sense-table-demo/datasets/COCO2017/images/000000000001.jpg,s3alternative://bucket/path/to/file.jpg
14,s14,https://placehold.co/314x386.png,,,inf,-inf,14,single value,1,1.23456789,True,-41,-460,729,-884,68,800,25,375,0.587,0.6445466,0.32074274043812745,False,True,2.0,c having special characters: !@#$%^&*(),emoji 🤣,2023-01-02,2023-11-30,[72 52 29],['oh3' 'pKMzKG' '5mSoyPstU'],b'\xbb',"[('EVf', 96)]","[('c8u', 21)]","{'x': 20, 'y': 'cWD'}","{'x': 70, 'y': 'zUZ'}",s3://sense-table-demo/datasets/COCO2017/images/000000000001.jpg,s3alternative://bucket/path/to/file.jpg
15,s15,https://placehold.co/315x385.png,,,inf,-inf,15,single value,1,1.23456789,True,-12,59,-179,853,98,373,803,458,0.03284,0.65016735,0.724422672614117,False,False,1.0,emoji 🤣,emoji 🤣,2023-01-22,2023-03-25,[31 66],['eC9' '9enq52' '2wjZRL9Oa'],b'$j\x1d\xdc\x88R',"[('MNz', 56)]","[('RGZ', 17)]","{'x': 28, 'y': 'Kxf'}","{'x': 40, 'y': 'sSt'}",s3://sense-table-demo/datasets/COCO2017/images/000000000001.jpg,s3alternative://bucket/path/to/file.jpg
16,s16,https://placehold.co/316x384.png,,,inf,-inf,16,single value,1,1.23456789,True,-29,-476,186,-210,139,64,256,136,0.9126,0.36469725,0.7458370120309643,False,,2.0,c having special characters: !@#$%^&*(),a with space,2023-04-22,2023-10-08,[78 40 62 22],['YsP' '6ihgIq' 'LSmNqE40f'],,"[('7xc', 26)]",,"{'x': 61, 'y': 'jfM'}","{'x': 41, 'y': 'HmQ'}",s3://sense-table-demo/datasets/COCO2017/images/000000000001.jpg,s3alternative://bucket/path/to/file.jpg
17,s17,https://placehold.co/317x383.png,,,inf,-inf,17,single value,1,1.23456789,True,-25,183,743,150,24,145,7,929,0.2482,0.5606772,0.20035914354871265,True,True,1.0,emoji 🤣,"multiple
lines	string",2023-02-26,2023-12-10,[31 56 99 32],['Ara' 'VNqTIA' 'ae24HZKjh'],b'\xbc\xe1',"[('mxa', 64)]",,"{'x': 1, 'y': '59M'}","{'x': 49, 'y': 'X3v'}",s3://sense-table-demo/datasets/COCO2017/images/000000000001.jpg,s3alternative://bucket/path/to/file.jpg
18,s18,https://placehold.co/318x382.png,,,inf,-inf,18,single value,1,1.23456789,True,23,862,-44,416,179,223,624,587,0.5776,0.48106188,0.868122813490531,False,,2.0,emoji 🤣,emoji 🤣,2023-03-07,2023-09-27,[55 27],['t3X' '13npgW' '2zMj518Y2'],b'\xf9Gwm\xa7\xc2',"[('tZl', 41)]","[('ZqH', 86)]","{'x': 43, 'y': 'dNR'}","{'x': 36, 'y': '8rb'}",s3://sense-table-demo/datasets/COCO2017/images/000000000001.jpg,s3alternative://bucket/path/to/file.jpg
19,s19,https://placehold.co/319x381.png,,,inf,-inf,19,single value,1,1.23456789,True,2,722,704,931,122,238,866,994,0.1655,0.8849984,0.7149240402022476,False,,2.0,c having special characters: !@#$%^&*(),a with space,2023-11-26,2023-06-03,[36 55 64 64],['bTu' '5X1YqW' 'g21nYCsXo'],b'Ne\xb3\xc8[',"[('PMp', 10)]","[('kOw', 42)]","{'x': 2, 'y': 'Xho'}","{'x': 80, 'y': '8M0'}",s3://sense-table-demo/datasets/COCO2017/images/000000000001.jpg,s3alternative://bucket/path/to/file.jpg
20,s20,https://placehold.co/320x380.png,,,inf,-inf,20,single value,1,1.23456789,True,21,266,-840,12,212,176,252,546,0.03387,0.53026515,0.5627502863433826,True,False,1.0,,emoji 🤣,2023-04-08,2023-04-12,[28 73 59],['blu' '17rNy8' 'H6h8l7qgA'],b'\xff)\xfc\xc8\x8a\xb4',"[('Qvh', 94)]","[('OZG', 92)]","{'x': 81, 'y': '8WU'}","{'x': 4, 'y': 'JyK'}",s3://sense-table-demo/datasets/COCO2017/images/000000000001.jpg,s3alternative://bucket/path/to/file.jpg
21,s21,https://placehold.co/321x379.png,,,inf,-inf,21,single value,1,1.23456789,True,-76,109,603,664,227,778,691,512,0.3115,0.44103217,0.4715324601025127,True,False,3.0,a with space,"multiple
lines	string",2023-05-24,2023-08-03,[42 94 90],['TtL' 'FxJpRa' '5HSUPwePu'],b'\xd5|\x19\x97',"[('xKk', 31)]","[('x4G', 51)]","{'x': 36, 'y': 'XBl'}","{'x': 2, 'y': '1UR'}",s3://sense-table-demo/datasets/COCO2017/images/000000000001.jpg,s3alternative://bucket/path/to/file.jpg
22,s22,https://placehold.co/322x378.png,,,inf,-inf,22,single value,1,1.23456789,True,-127,819,-200,81,52,852,718,295,0.7803,0.40448546,0.5432328057899581,False,False,,"multiple
lines	string",,2023-05-05,2023-05-30,[37],['t0S' 'stzysh' 'A6P3MsHar'],b'Wh?\x07C\x1f',"[('Zss', 84)]","[('v1E', 35)]","{'x': 58, 'y': 'Qwi'}","{'x': 61, 'y': 'tbz'}",s3://sense-table-demo/datasets/COCO2017/images/000000000001.jpg,s3alternative://bucket/path/to/file.jpg
23,s23,https://placehold.co/323x377.png,,,inf,-inf,23,single value,1,1.23456789,True,-41,-423,-603,-367,150,281,302,319,0.2776,0.57242775,0.15924573827926447,False,False,3.0,emoji 🤣,,2023-06-16,2023-03-24,[33 47 55 75],['AJO' 'CBnD3X' 'kfFNuYUPn'],b'6',"[('TKu', 22)]","[('DLF', 18)]","{'x': 10, 'y': '3EB'}","{'x': 13, 'y': 'EoC'}",s3://sense-table-demo/datasets/COCO2017/images/000000000001.jpg,s3alternative://bucket/path/to/file.jpg
24,s24,https://placehold.co/324x376.png,,,inf,-inf,24,single value,1,1.23456789,True,107,-319,300,-488,143,62,638,917,0.2201,0.80397695,0.2037012492762742,True,True,1.0,"multiple
lines	string","multiple
lines	string",2023-03-27,2023-04-20,[ 3 49 68],['mbp' 'D0ezNm' 'REpOaUVgA'],b'\xf1v\xb9\xa7x\xa0',"[('39v', 85)]","[('ike', 78)]","{'x': 81, 'y': 'sRl'}","{'x': 60, 'y': '6ns'}",s3://sense-table-demo/datasets/COCO2017/images/000000000001.jpg,s3alternative://bucket/path/to/file.jpg
25,s25,https://placehold.co/325x375.png,,,inf,-inf,25,single value,1,1.23456789,True,29,-444,-185,774,56,216,55,571,0.2126,0.5384015,0.09116449040619168,False,True,3.0,c having special characters: !@#$%^&*(),c having special characters: !@#$%^&*(),2023-03-17,2023-10-02,[58 66 74 44],['k7G' 'dp0CXP' '9K63LSFZH'],b'T5\xa4\x1c\xef\x13',"[('3wl', 36)]","[('Nnl', 8)]","{'x': 97, 'y': 'lvT'}","{'x': 16, 'y': 'gWW'}",s3://sense-table-demo/datasets/COCO2017/images/000000000001.jpg,s3alternative://bucket/path/to/file.jpg
26,s26,https://placehold.co/326x374.png,,,inf,-inf,26,single value,1,1.23456789,True,-91,597,939,-199,38,853,725,831,0.515,0.6616552,0.15365803816111268,True,False,2.0,"multiple
lines	string",emoji 🤣,2023-12-10,2023-07-20,[45 63 90],,b'\xc9',"[('64z', 53)]","[('wSh', 49)]","{'x': 21, 'y': 'rZ4'}","{'x': 22, 'y': '4Bb'}",s3://sense-table-demo/datasets/COCO2017/images/000000000001.jpg,s3alternative://bucket/path/to/file.jpg
27,s27,https://placehold.co/327x373.png,,,inf,-inf,27,single value,1,1.23456789,True,1,976,527,119,108,826,525,348,0.9756,0.7378558,0.45369363460528267,True,True,,c having special characters: !@#$%^&*(),emoji 🤣,2023-10-21,2023-10-11,[ 5 58],['3UD' 'qpNVGM' 'rerqtHioR'],b'\xc6y',"[('oTi', 48)]","[('oYS', 19)]","{'x': 5, 'y': 'Iej'}","{'x': 77, 'y': 'DFl'}",s3://sense-table-demo/datasets/COCO2017/images/000000000001.jpg,s3alternative://bucket/path/to/file.jpg
28,s28,https://placehold.co/328x372.png,,,inf,-inf,28,single value,1,1.23456789,True,63,12,919,661,180,794,473,839,0.459,0.5201681,0.5303543937282561,True,False,1.0,"multiple
lines	string",,2023-02-28,2023-06-22,[29],['Rdz' 'HzmA4K' 'R1VxavU07'],b'R>:r',"[('TKk', 10)]","[('DDn', 74)]","{'x': 56, 'y': 'sqw'}","{'x': 78, 'y': '5TG'}",s3://sense-table-demo/datasets/COCO2017/images/000000000001.jpg,s3alternative://bucket/path/to/file.jpg
29,s29,https://placehold.co/329x371.png,,,inf,-inf,29,single value,1,1.23456789,True,59,-355,415,141,41,688,27,778,0.557,0.42681706,0.017861892478319374,True,,1.0,a with space,c having special characters: !@#$%^&*(),2023-05-18,2023-11-23,[36 41],['zUH' 'LnnBbu' 'QzkChMbyI'],b'\x80\xf4\t\x02\xc3',"[('wOc', 20)]","[('jZb', 57)]","{'x': 15, 'y': 'aNx'}","{'x': 14, 'y': 'Wi2'}",s3://sense-table-demo/datasets/COCO2017/images/000000000001.jpg,s3alternative://bucket/path/to/file.jpg
30,s30,https://placehold.co/330x370.png,,,inf,-inf,30,single value,1,1.23456789,True,-108,-205,158,-441,185,460,982,872,0.861,0.87666535,0.7967978278640275,False,,1.0,a with space,,2023-04-09,2023-07-25,[86  5 67],['bNi' 'CdxnuV' 'xUZpfbH9v'],b'\xe9R\xaa\x8d\x16\x0e\x1a\x89',"[('2pH', 62)]",,"{'x': 38, 'y': 'lb1'}","{'x': 7, 'y': 'Y6P'}",s3://sense-table-demo/datasets/COCO2017/images/000000000001.jpg,s3alternative://bucket/path/to/file.jpg
31,s31,https://placehold.co/331x369.png,,,inf,-inf,31,single value,1,1.23456789,True,32,51,218,624,166,928,77,228,0.535,0.4175061,0.2941679733434779,True,,,a with space,c having special characters: !@#$%^&*(),2023-07-11,2023-03-04,[28],['OWO' 'U6mbjh' 'PInRVkLUh'],b'W\x0fe\xdf',"[('d9P', 27)]","[('cJj', 76)]","{'x': 91, 'y': 'WoS'}","{'x': 61, 'y': 'iSC'}",s3://sense-table-demo/datasets/COCO2017/images/000000000001.jpg,s3alternative://bucket/path/to/file.jpg
32,s32,https://placehold.co/332x368.png,,,inf,-inf,32,single value,1,1.23456789,True,75,643,-600,-513,141,609,215,269,0.1844,0.46194285,0.9118360349599111,True,False,2.0,a with space,,2023-08-31,2023-03-14,[16 95 21],['Y7g' 'btP7yS' 'eQMgV0Lh8'],b'-\xb7O7\x1f\n\xee',"[('ObQ', 5)]","[('NcJ', 94)]","{'x': 48, 'y': 'OHy'}","{'x': 97, 'y': 'SGa'}",s3://sense-table-demo/datasets/COCO2017/images/000000000001.jpg,s3alternative://bucket/path/to/file.jpg
33,s33,https://placehold.co/333x367.png,,,inf,-inf,33,single value,1,1.23456789,True,-71,579,-361,260,222,104,385,827,0.2996,0.9903413,0.9675112636137777,False,,1.0,a with space,emoji 🤣,2023-11-15,2023-09-08,[48],,b'#f\xa5Sm',"[('zxH', 27)]","[('dql', 18)]","{'x': 44, 'y': 'GEI'}","{'x': 95, 'y': '5QK'}",s3://sense-table-demo/datasets/COCO2017/images/000000000001.jpg,s3alternative://bucket/path/to/file.jpg
34,s34,https://placehold.co/334x366.png,,,inf,-inf,34,single value,1,1.23456789,True,-107,363,56,908,121,98,364,797,0.31,0.00023752358,0.18545887467665434,True,True,3.0,a with space,emoji 🤣,2023-02-18,2023-05-04,[85],['WvA' 'wFv0Yg' '7NZRBT7qY'],b'O+V;`xV',"[('DjR', 36)]","[('7LI', 30)]","{'x': 68, 'y': 'MuN'}","{'x': 93, 'y': 'fCc'}",s3://sense-table-demo/datasets/COCO2017/images/000000000001.jpg,s3alternative://bucket/path/to/file.jpg
35,s35,https://placehold.co/335x365.png,,,inf,-inf,35,single value,1,1.23456789,True,124,821,-313,-104,132,510,665,290,0.3972,0.1854729,0.46209729076566064,False,,1.0,c having special characters: !@#$%^&*(),,2023-02-01,2023-05-01,[50  2 41],['HDB' 'Tq0Zf2' 'pCLxb0lnX'],b'\x05D\xe0\x13\xf2\xbb\xa9\x8dl',"[('NsP', 67)]","[('bSP', 56)]","{'x': 41, 'y': 'gGe'}","{'x': 12, 'y': 'GOt'}",s3://sense-table-demo/datasets/COCO2017/images/000000000001.jpg,s3alternative://bucket/path/to/file.jpg
36,s36,https://placehold.co/336x364.png,,,inf,-inf,36,single value,1,1.23456789,True,107,981,-541,295,162,384,525,724,0.4268,0.38396388,0.0012318351664258875,False,,1.0,emoji 🤣,a with space,2023-10-04,2023-10-02,[50],['v2R' 'ra6fSE' 'VQOEXfnQs'],b'\xa8\x89\x87\x85uj',"[('PqL', 48)]","[('rfB', 30)]","{'x': 58, 'y': 'Zi2'}","{'x': 61, 'y': 'Jt3'}",s3://sense-table-demo/datasets/COCO2017/images/000000000001.jpg,s3alternative://bucket/path/to/file.jpg
37,s37,https://placehold.co/337x363.png,,,inf,-inf,37,single value,1,1.23456789,True,-40,354,-46,212,214,404,698,164,0.8,0.9325899,0.598327265122427,False,,1.0,"multiple
lines	string",,2023-01-20,2023-04-30,[45],['KDG' 'AUuRqp' 'hlhHVlnES'],b'\xd0)\x81\xd6K\x98C',"[('iZg', 57)]","[('91k', 52)]","{'x': 38, 'y': 'mEg'}","{'x': 77, 'y': 'tlr'}",s3://sense-table-demo/datasets/COCO2017/images/000000000001.jpg,s3alternative://bucket/path/to/file.jpg
38,s38,https://placehold.co/338x362.png,,,inf,-inf,38,single value,1,1.23456789,True,-80,663,906,-297,220,822,311,4,0.3494,0.070029706,0.6073064482626712,True,True,1.0,a with space,,2023-06-03,2023-11-13,[43],['8Gr' 'gmolaH' 'r8IRh1E2J'],b'\x9d\xb9\x1d',"[('Shh', 57)]","[('ZLX', 58)]","{'x': 70, 'y': 'JZO'}","{'x': 97, 'y': 'tBh'}",s3://sense-table-demo/datasets/COCO2017/images/000000000001.jpg,s3alternative://bucket/path/to/file.jpg
39,s39,https://placehold.co/339x361.png,,,inf,-inf,39,single value,1,1.23456789,True,90,529,-531,470,234,517,882,850,0.4683,0.009485434,0.24753995560337516,False,False,2.0,c having special characters: !@#$%^&*(),,2023-03-09,2023-06-13,[ 0 91 62 23],['DBl' 'd6DYye' 'NdjIs9hVL'],b'\xc8\xe9\xc2K\x1c\xb5',"[('gmm', 99)]","[('YlO', 1)]","{'x': 2, 'y': 'GRp'}","{'x': 70, 'y': 'jqa'}",s3://sense-table-demo/datasets/COCO2017/images/000000000001.jpg,s3alternative://bucket/path/to/file.jpg
40,s40,https://placehold.co/340x360.png,,,inf,-inf,40,single value,1,1.23456789,True,-70,371,398,-420,74,475,6,378,0.625,0.052683838,0.5584126725831979,False,True,3.0,c having special characters: !@#$%^&*(),"multiple
lines	string",2023-08-02,2023-10-13,[97],['XnG' 'BB19sM' 'LT6mnOjke'],b'\x8c\x8a\xe3-\x9fZ\xd0',"[('qGm', 82)]","[('qSv', 87)]","{'x': 91, 'y': 'wLe'}","{'x': 30, 'y': 'MFm'}",s3://sense-table-demo/datasets/COCO2017/images/000000000001.jpg,s3alternative://bucket/path/to/file.jpg
41,s41,https://placehold.co/341x359.png,,,inf,-inf,41,single value,1,1.23456789,True,126,496,45,-211,145,976,2,77,0.3777,0.08854341,0.22554014244373544,True,False,2.0,c having special characters: !@#$%^&*(),emoji 🤣,2023-05-23,2023-09-22,[16 98 81],['aBK' 'soRRCQ' '5WMO5AHO4'],"b',\xd4\xfam\x90\x15P'","[('Rsc', 98)]","[('CKo', 15)]","{'x': 34, 'y': '5mE'}","{'x': 24, 'y': 'vti'}",s3://sense-table-demo/datasets/COCO2017/images/000000000001.jpg,s3alternative://bucket/path/to/file.jpg
42,s42,https://placehold.co/342x358.png,,,inf,-inf,42,single value,1,1.23456789,True,41,254,-251,-140,238,708,622,409,0.8364,0.037596773,0.16082546907819006,False,False,3.0,emoji 🤣,,2023-08-20,2023-11-16,[23],['Zek' 'tUJrhQ' 'R6FEecAtp'],b'\xc1Q\xff\xb7\xe4',"[('Em5', 55)]","[('xgm', 38)]","{'x': 37, 'y': '3eX'}","{'x': 7, 'y': 'Rrp'}",s3://sense-table-demo/datasets/COCO2017/images/000000000001.jpg,s3alternative://bucket/path/to/file.jpg
43,s43,https://placehold.co/343x357.png,,,inf,-inf,43,single value,1,1.23456789,True,91,-811,693,-754,75,862,918,573,0.5874,0.47978133,0.6515194668022647,False,,1.0,"multiple
lines	string",c having special characters: !@#$%^&*(),2023-08-01,2023-06-10,[84],['f7Z' 'J69Pqc' 'UDO4lKNEf'],b']6',"[('uaP', 0)]","[('1FA', 87)]","{'x': 18, 'y': 'dI6'}","{'x': 1, 'y': 'eMv'}",s3://sense-table-demo/datasets/COCO2017/images/000000000001.jpg,s3alternative://bucket/path/to/file.jpg
44,s44,https://placehold.co/344x356.png,,,inf,-inf,44,single value,1,1.23456789,True,59,248,-963,986,8,644,749,131,0.294,0.5807572,0.3259254639520749,False,False,,emoji 🤣,,2023-03-20,2023-11-04,[16],['vuP' '1uRr6Y' 'ICtu8zF9O'],b'\x9d',"[('4ZP', 47)]","[('jfD', 84)]","{'x': 7, 'y': 'zwR'}",,s3://sense-table-demo/datasets/COCO2017/images/000000000001.jpg,s3alternative://bucket/path/to/file.jpg
45,s45,https://placehold.co/345x355.png,,,inf,-inf,45,single value,1,1.23456789,True,79,408,-771,99,73,869,362,600,0.714,0.27168697,0.5902639388856225,False,True,2.0,,"multiple
lines	string",2023-08-02,2023-03-30,[18 63],['Hzl' 'wUMVmI' '5BRh8LojI'],,"[('jfF', 62)]","[('McW', 25)]","{'x': 83, 'y': 'Zqc'}","{'x': 55, 'y': 'BiD'}",s3://sense-table-demo/datasets/COCO2017/images/000000000001.jpg,s3alternative://bucket/path/to/file.jpg
46,s46,https://placehold.co/346x354.png,,,inf,-inf,46,single value,1,1.23456789,True,-114,400,388,-847,185,770,750,748,0.528,0.3982874,0.4332467489716556,False,True,,c having special characters: !@#$%^&*(),emoji 🤣,2023-04-26,2023-05-22,[10 53],['If9' '4ChZES' 'FqZ8pIx5F'],b'\xcd[\xd5',"[('Sgp', 87)]","[('FhD', 11)]","{'x': 50, 'y': 'es6'}","{'x': 83, 'y': 'Pgd'}",s3://sense-table-demo/datasets/COCO2017/images/000000000001.jpg,s3alternative://bucket/path/to/file.jpg
47,s47,https://placehold.co/347x353.png,,,inf,-inf,47,single value,1,1.23456789,True,61,306,-438,679,235,436,507,41,0.5347,0.09169933,0.9843514074029039,True,False,2.0,,,2023-04-02,2023-07-22,[20 10 91  4],['21r' 'Wz5FYr' 'sK9EjHvIH'],b'\xa3\xab\xec',"[('o9s', 3)]",,"{'x': 44, 'y': '7gS'}","{'x': 21, 'y': 'AlK'}",s3://sense-table-demo/datasets/COCO2017/images/000000000001.jpg,s3alternative://bucket/path/to/file.jpg
48,s48,https://placehold.co/348x352.png,,,inf,-inf,48,single value,1,1.23456789,True,61,981,-563,458,144,22,273,88,0.4812,0.33637047,0.14958064266756577,False,,1.0,a with space,"multiple
lines	string",2023-09-27,2023-11-05,[40 45 11 69],['Ctl' 'RJoWcU' 'RYxPY8EcF'],b'\xf6\x88\xc7\x0e.\x0ee',"[('Cgk', 26)]","[('iLZ', 91)]","{'x': 15, 'y': 'GlG'}","{'x': 15, 'y': 'KZR'}",s3://sense-table-demo/datasets/COCO2017/images/000000000001.jpg,s3alternative://bucket/path/to/file.jpg
